_id;Fecha;Día de la semana;Día del mes;Estación;PM1;PM2.5;PM10;NO;NO2;NOx;O3;SO2;CO;NH3;C7H8;C6H6;Ruido;C8H10;Velocidad del viento;Dirección del viento;Temperatura;Humidad relativa;Presión;Radiación solar;Precipitación;Velocidad máxima del viento;As (ng/m³);Ni (ng/m³);Cd (ng/m³);Pb (ng/m³);B(a)p (ng/m³)
1;01/01/2009;Jueves;1;Avda. Francia;11;;;10;59;74;18;3;0.4;;;;;;1.1;196;;;;;;;;;;;
2;02/01/2009;Viernes;2;Avda. Francia;13;;;55;74;158;13;3;0.5;;;;;;1.1;193;;;;;;;;;;;
3;03/01/2009;Sábado;3;Avda. Francia;12;;;38;70;129;10;3;0.4;;;;;;0.7;142;;;;;;;;;;;
4;04/01/2009;Domingo;4;Avda. Francia;6;;;26;56;95;28;3;0.4;;;;;;1.7;78;;;;;;;;;;;
5;05/01/2009;Lunes;5;Avda. Francia;7;;;31;75;122;16;3;0.4;;;;;;1;182;;;;;;;;;;;
6;06/01/2009;Martes;6;Avda. Francia;6;;;22;56;89;33;3;0.3;;;;;;0.9;198;;;;;;;;;;;
7;07/01/2009;Miércoles;7;Avda. Francia;5;;;20;76;108;35;3;0.3;;;;;;0.8;242;;;;;;;;;;;
8;08/01/2009;Jueves;8;Avda. Francia;8;;;20;75;105;34;3;0.3;;;;;;1.7;135;;;;;;;;;;;
9;09/01/2009;Viernes;9;Avda. Francia;9;;;74;94;208;19;3;0.5;;;;;;2.2;253;;;;;;;;;;;
10;10/01/2009;Sábado;10;Avda. Francia;9;;;15;63;85;37;3;0.4;;;;;;2.5;131;;;;;;;;;;;
11;11/01/2009;Domingo;11;Avda. Francia;7;;;12;69;87;41;3;0.4;;;;;;1.3;131;;;;;;;;;;;
12;12/01/2009;Lunes;12;Avda. Francia;7;;;69;98;203;33;3;0.5;;;;;;1;254;;;;;;;;;;;
13;13/01/2009;Martes;13;Avda. Francia;7;;;69;110;215;20;3;0.5;;;;;;1;229;;;;;;;;;;;
14;14/01/2009;Miércoles;14;Avda. Francia;5;;;16;69;93;36;3;0.4;;;;;;1.5;244;;;;;;;;;;;
15;15/01/2009;Jueves;15;Avda. Francia;7;;;15;79;102;37;3;0.3;;;;;;2;235;;;;;;;;;;;
16;16/01/2009;Viernes;16;Avda. Francia;8;;;34;96;148;28;3;0.4;;;;;;1.4;175;;;;;;;;;;;
17;17/01/2009;Sábado;17;Avda. Francia;11;;;26;93;133;32;4;0.4;;;;;;1.2;228;;;;;;;;;;;
18;18/01/2009;Domingo;18;Avda. Francia;11;;;5;48;55;43;3;0.4;;;;;;2.1;238;;;;;;;;;;;
19;19/01/2009;Lunes;19;Avda. Francia;5;;;4;39;45;41;3;0.3;;;;;;2.8;227;;;;;;;;;;;
20;20/01/2009;Martes;20;Avda. Francia;2;;;8;50;62;48;3;0.3;;;;;;2.1;240;;;;;;;;;;;
